Place Name,Place Address,Place ID,Latitude,Longitude,Rating,User Rating Count,Bus_Stations_Count
Bubble Tea Shop,"Sushi Shop, 7010 Av Henri-Julien, Pl. du Marché-du-Nord, Montreal",ChIJrRPobmMZyUwRmzUtZysr570,45.5361062,-73.6135235,3.8,9,18
Bubble Tea Shop,"1155 René-Lévesque Blvd W, Montreal",ChIJk0Ay_ZwbyUwRtjPsppB80xM,45.498627,-73.5709641,3.6,14,31
Bubble Tea Shop,"Sushi Shop, 1200 McGill College Ave, Montreal",ChIJh1KLHbAbyUwR5DRuYkp1Gvg,45.501355,-73.570814,3.0,2,33
OLa Boba Tea,"6666 Sherbrooke St E, Montreal",ChIJe-mGnqcdyUwRDR7LWixnrUY,45.58318389999999,-73.54243559999999,4.6,38,18
Chatime,"3428 Park Ave, Montreal",ChIJ1xjTVUgayUwRvxmlGV6LkLU,45.5085893,-73.5721164,4.1,218,22
The Alley Montreal,"1256 Guy St, Montreal",ChIJ0XpAvrgbyUwRLq2_-QxhoO4,45.4948234,-73.57765429999999,4.3,624,30
Bubble Tea Shop,"Sushi Shop, 1600 Blvd. De Maisonneuve Ouest, Montréal",ChIJuQHWPh0byUwRlgTAaNZ68yE,45.495379,-73.57928,5.0,1,28
Gong Cha,"757 Mont-Royal Ave E, Montreal",ChIJOXWPWI0byUwRI-q2TjxNmGQ,45.5257478,-73.58154979999999,4.2,182,12
Bubble Tea Shop,"48 Westminster Ave N, Montreal",ChIJb3yKdrAXyUwRxKieAJfUEKU,45.4529508,-73.6458851,3.0,2,1
Real Fruit Bubble Tea,"705 Saint-Catherine St W, Montreal",ChIJLWhYybIbyUwROq0s6LLmi2w,45.5026725,-73.57171389999999,3.7,65,33
MTL T,"5152 Sherbrooke St W, Montreal",ChIJEXZ1HaQRyUwR4KzH_ie88Jk,45.4756456,-73.60702669999999,4.3,71,8
Real Fruit Bubble Tea,"150 Saint-Catherine St W, Montreal",ChIJ2YIWUecbyUwR9dwIA5n5kew,45.5077116,-73.56362829999999,4.1,7,30
Bubble Tea Shop,"Laval, Blvd. de la Concorde E",ChIJJ4q1ZiQhyUwRpNWXeVj2eE0,45.593378,-73.668303,3.8,4,
Presotea Jean Talon,"400 Rue Jean-Talon E, Montréal",ChIJAyGeox0ZyUwReuT3KQqy2_w,45.5383545,-73.6141796,4.2,128,16
Gong Cha 貢茶,"1811 Saint-Catherine St W, Montreal",ChIJ7cBPbs4byUwRHzgzoXsNDuo,45.493685,-73.57969609999999,4.2,109,26
Bubble Tea Shop,"Ouest Sushi Shop, 895 Rue De la Gauchetière O, Montréal",ChIJd72AyjEbyUwRgeNuoQoN7EQ,45.500112,-73.56652199999999,2.8,5,33
Bubble Tea Shop,"Sushi Shop, 85 Mont-Royal Ave W, Montreal",ChIJVXHZSRobyUwRsTF0plWq1SU,45.519181,-73.587488,0.0,0,12
Labothery,"5223 Sherbrooke St W, Montreal",ChIJj9vQtuoRyUwReXAqIa08zNo,45.4750208,-73.6082796,4.3,89,8
Boba Boba,"138 Atwater Ave, Montreal",ChIJu1N0vRAbyUwRD3b-kXzZunE,45.4796547,-73.5770991,4.3,195,17
Chatime Montreal Chinatown (~24/7),"52C Rue De la Gauchetière O, Montréal",ChIJnYVHsFEayUwR7qbzuA3Aqfs,45.5075827,-73.56021249999999,4.5,901,27
Presotea McGill,"600 Av. du Président-Kennedy, Montréal",ChIJJ6qLtlgbyUwRIl73irem3_E,45.5051682,-73.57160010000001,4.1,122,33
Chatime VSL (Thé aux perles),"1931 Bd Keller, Saint-Laurent",ChIJO9FtV1gjyUwRlXs1esOR36A,45.524314,-73.7135165,4.3,137,1
Bubble Tea Shop,"Sushi Shop, 6687 Rue Jean-Talon E, Montreal",ChIJ5ZtrcJEfyUwR2mxbeUPtmCw,45.594248,-73.57425099999999,3.0,6,2
Bubble Tea Shop,"Sushi Shop, 7275 Sherbrooke St E, Montreal",ChIJY9G2F0UdyUwReshXsCQmzE0,45.589869,-73.53931299999999,2.4,14,28
Bubble Tea Shop,"Sushi Shop, 5640 Chem. de la Côte-des-Neiges, Montreal",ChIJy-aPl0UZyUwR18xQZEM5azQ,45.4981713,-73.6267989,3.7,10,13
One Babo - Laval,"1666 Blvd. Saint-Martin O, Laval",ChIJQVF4HyAjyUwRpV1fDj1uq7k,45.5676282,-73.72743559999999,4.7,442,
One Babo - Côte-Vertu,"857 Decarie Blvd, Saint-Laurent",ChIJiyPsxHQZyUwRyQA6OxH6SGs,45.51250539999999,-73.6795752,4.6,82,28
Bubble Tea Shop,"Sushi Shop, 633 32e Avenue, Lachine",ChIJyeaKWrAXyUwRxOEgydm0VrM,45.4405365,-73.6929213,2.5,20,
Presotea Peel,"977 Saint-Catherine St W unit 103, Montreal",ChIJrVgwbzwbyUwRJhhHFyPJfsg,45.50111,-73.57224269999999,3.9,175,35
Bubble Tea Shop,"Sushi Shop, 3830 Boulevard Cote Vertu Ouest Local 110, Saint-Laurent",ChIJ2R7lBZkXyUwR7XueyWn1DEk,45.492157,-73.709819,4.1,7,1
Presotea Mont-Royal,"376A Mont-Royal Ave E, Montreal",ChIJ3fB2StMbyUwRDcUBJ-9_eWk,45.5236511,-73.5830342,4.7,41,12
Bubble Tea Shop,"Sushi Shop, 138 Av. Atwater, Montréal",ChIJj9j6UZIbyUwRC7oHf-dbP6g,45.4796712,-73.5772715,3.3,4,17
Machi Machi,"1241 Bishop St, Montreal",ChIJLy87fL8byUwR-NUOH_z1laA,45.4962882,-73.5753441,0.0,0,31
Koi Bubble Tea,"2499 Rue Jean-Talon E, Montréal",ChIJx_q-40kZyUwR4xZHMkd2Mz4,45.55361540000001,-73.6023232,3.3,3,14
One Babo Plaza St-Hubert,"6680 Rue St-Hubert, Montréal",ChIJOwEL5m4ZyUwRp_HojwZttjw,45.537396,-73.606276,4.7,15,21
L2 Lounge,"71A Rue De la Gauchetière O, Montréal",ChIJV-rdslEayUwRRcBCvcRp_-8,45.5073406,-73.5607436,4.3,1869,27
Panda Boba-T,"6485 Rue Beaubien E, Montréal",ChIJ45CGLJsfyUwRWiP2fHXJRnk,45.58712449999999,-73.5616932,5.0,1,
Presotea Côte-Vertu,"991 Decarie Blvd, Saint-Laurent",ChIJ49-SBx4ZyUwROLESZWQUAeQ,45.5141807,-73.68235109999999,4.0,69,25
Shuyi Tealicious 书亦烧仙草,"896 Sherbrooke St W, Montreal",ChIJzzMHPR4byUwRmYvf8L1MoCY,45.5033684,-73.57486229999999,3.9,257,30
L2 Bubble tea Alexis Nihon,"Metro Level, 1500 Atwater Ave #36, Westmount",ChIJ2-VBW2gbyUwRsRtRh_2R8Ls,45.4892168,-73.58606449999999,4.3,49,26
The o Bulles,"3490 Rue Fleury E, Montréal-Nord",ChIJwUJ_bDMfyUwRa9VROjvQ5LA,45.5812866,-73.6405367,4.6,228,
